lincence_no,appurtenant_land,related_licences,fa,purpose
C017842,"STOR FOR C 32119 DUTEAU CR",None,None,{"Stream Storage: Non-Power"}
F127775,"STOR FOR F 4690",None,None,{"Stream Storage: Non-Power"}
C067150,"STOR FOR F 3530 3531 & 12419 CHASE CR",None,{"Stream Storage: Non-Power"}
C118226,"15.3 ACRES OF NW 1/4 SEC 18 TP4 ODYD",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C068476,"LAND WITHIN BOUNDARIES OF DIST",None,None,{"Irrigation: Local Provider","Stream Storage: Non-Power"}
C109746,"THAT PART OF DL 192 KDYD LYING NORTH AND WEST OF PLAN 400",None,None,{"Stream Storage: Non-Power","Conservation: Use of Water"}
C066590,"AS SET OUT IN CWL 66584",{"66584"},None,{"Stream Storage: Non-Power"}
F006199,"STOR FOR F 6198 GLOVER LK",None,None,{"Stream Storage: Non-Power"}
C039864,"STOR FOR C 39863 PAUL LK",None,None,{"Stream Storage: Non-Power"}
C023317,"STOR FOR F 15510 & 15511 EQUESIS CR",None,None,{"Stream Storage: Non-Power"}
C117879,"LOT 4 DISTRICT LOT 46 OYSTER DISTRICTPLAN 38774",None,None,{"Livestock & Animal: Stockwatering","Stream Storage: Non-Power"}
C132312,"Storage for F012795 LINDQUIST CR",None,None,{"Stream Storage: Non-Power"}
501344,"The South East 1/4 Section 33, Township 22, Range 21, West of the 6th Meridian, Kamloops Division Yale District, Except the Land Covered by the Waters of Sparks Lake at the Time of the Survey of Said Lake Shown Upon a Plan of Survey of the North West1/4 of Township 22, Dated at Ottawa the 8th Day of September, 1921, of which of which 10.1 hectares may be irrigated.",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
F010246,"STOR FOR C067333",None,None,{"Stream Storage: Non-Power"}
F010195,"STOR FOR F 9769 LAUDER CR",None,None,{"Stream Storage: Non-Power"}
C034539,"STOR FOR C 34538 GULCH CR",None,None,{"Stream Storage: Non-Power"}
F013855,"STOR FOR F 13852 MONTE CR",None,None,{"Stream Storage: Non-Power"}
C065508,"BLK B OF L 3005 CASSIAR DIST",None,None,{"Stream Storage: Non-Power",Domestic}
C068485,"AS SET OUT IN FWL 11801",None,None,{"Stream Storage: Non-Power"}
C114231,"AS SET OUT IN CONDITIONAL WATER LICENCE 114230",None,None,{"Stream Storage: Non-Power"}
C132064,"Storage for C045893, Peterson Creek",None,None,{"Stream Storage: Non-Power"}
C031326,"STOR FOR C 31325 PINKUT CR",None,None,{"Stream Storage: Non-Power"}
C103981,"AMENDED L 1 (PLAN 6056) OF L 507 PLAN4844; L2 & 4 OF L 507 & 7381 PLAN 4844; L 3 OF L 7381 PLAN 4844L L 5 OFL 507 6564 & 7537 PLAN 4884 EXC PLAN 6056 ALL OF R 5 COAST DIST",None,None,{"Stream Storage: Non-Power","Pulp Mill"}
C072293,"THAT PART OF LOT 1 SECTIONS 17 & 18 RGE 5E N DIV SALTSPRING IS COWICHAN DIST PLAN 6636 LYING TO THE SOUTH OF LOT 2 PLAN 6636 OF WHICH 1.0 ACRE MAY BE IRRIGATED",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
F011400,"STOR FOR C 62425 BARNES CR",None,None,{"Stream Storage: Non-Power"}
C046591,"STOR FOR F 3616 NICOLA R",None,None,{"Stream Storage: Non-Power"}
F062033,"L 2380 CASSIAR DIST EXC PLAN 4679 7479 8176 11421 & 11424",None,None,{Domestic,"Stream Storage: Non-Power"}
C043898,"STOR FOR C 43897 HONEYMOON LK",None,None,{"Stream Storage: Non-Power"}
C058007,"STOR FOR C 20727 QUENVILLE CR",None,None,{"Stream Storage: Non-Power"}
C025184,"STOR FOR C 25183 MOORE CR",None,None,{"Stream Storage: Non-Power"}
C019713,"STOR FOR C 19712 SPARKS CR",None,None,{"Stream Storage: Non-Power"}
C031368,"STOR FOR C 29965 WOODPECKER SWAMP",None,None,{"Stream Storage: Non-Power"}
C005735,"STOR FOR C 5731 & 5732 ELLIS CR",None,None,{"Stream Storage: Non-Power"}
C064998,"L 1 OF L 54 KDYD PLAN 35964",None,None,{Domestic,"Stream Storage: Non-Power"}
C112664,"1.67 AC OF L 14 OF SEC 7 & 18 TP 20 R 19 W6M KDYD PLAN 31473",None,None,{"Stream Storage: Non-Power","Irrigation: Private","Livestock & Animal: Stockwatering"}
C062797,"STOR FOR C 62796 BARNES CR",None,None,{"Stream Storage: Non-Power"}
F008936,"STOR FOR F 6457 GUICHON CR",None,None,{"Stream Storage: Non-Power"}
C129468,"as set out in Conditional Water Licence 129457 or any licence in substitution thereof",{"129457"},None,{"Stream Storage: Non-Power"}
C024798,"STOR FOR C 24797",None,None,{"Stream Storage: Non-Power"}
C115852,"AS SET OUT IN CONDITIONAL WATER LICENCE 115851",{"115851"},None,{"Stream Storage: Non-Power"}
C035506,"STOR FOR C 29585 TSULQUATE R",None,None,{"Stream Storage: Non-Power"}
C070705,"L 2422 KDYD",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
F132013,"Storage for C131444, Barnes Creek",None,None,{"Stream Storage: Non-Power"}
C057397,"STOR FOR C 20727 QUENVILLE CR",None,None,{"Stream Storage: Non-Power"}
C132260,"District Lot 1489, Range 1, Coast District",None,None,{"Stream Storage: Non-Power","Comm. Enterprise: Enterprise"}
C051778,"SET OUT IN C 51777 TAWNY GOLD SWAMP",None,None,{"Stream Storage: Non-Power"}
C070702,"L 2422 KDYD",None,None,{"Stream Storage: Non-Power","Irrigation: Private","Livestock & Animal: Stockwatering"}
F011747,"STOR FOR F 11740 & 11744 POWERS CR",None,None,{"Stream Storage: Non-Power"}
C125159,"STORAGE FOR C125155 FULLER LAKE",None,None,{"Stream Storage: Non-Power"}
C067981,"STOR FOR C 62978 & 62982 LALUWISSIN CR",None,None,{"Stream Storage: Non-Power"}
C033023,"STOR FOR C 33022 PAUL LK",None,None,{"Stream Storage: Non-Power"}
C111679,"LOT 4 DL 214S AND OF SEC 23 TP 88 SDYD PL 23700 EXC PL H15201",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C119745,"STOR FOR C 119741 AND 27963 GRAFTON LK",None,None,{"Stream Storage: Non-Power"}
C108590,"ORCHARD LAKE NORTH PASTURE",None,None,{"Livestock & Animal: Stockwatering","Stream Storage: Non-Power"}
C106688,"THAT PART OF STRATA PLAN K180 SHOWN AS COMMON PROPERTY OF PHASE 1 LYING WITHIN NE 1/4 SEC 3 TP 88 SDYD LYING W OF WHITE LAKE RD",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C033810,"STOR FOR F 3608, 3611, 3613 & 10851 CHAPPERON CR",None,None,{"Stream Storage: Non-Power"}
C111382,"L 13 SEC 89 SOOKE DIST PLN 5313",None,None,{"Stream Storage: Non-Power",Domestic}
C131733,"Lot A, Loop Farms and District Lot 106, Alberni District, Plan VIP57991, except that part in Plan VIP65071",None,None,{"Pond & Aquaculture","Stream Storage: Non-Power"}
C119317,"STORAGE FOR C119310 (Lot A, (Except: Plan EPP1651) District Lot 437, Group 2, New Westminster District, Plan LMP19943)",None,None,{"Stream Storage: Non-Power"}
C064733,"1.34 AC OF L 1 OF SEC 54 LAKE DIST PLAN 39376",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
F020478,"STOR FOR F 20481 WEAVER CR",None,None,{"Stream Storage: Non-Power"}
C104604,"STOR FOR 104598",None,None,{"Stream Storage: Non-Power"}
C022721,"STOR FOR C 22720 HOLYOAK LK",None,None,{"Stream Storage: Non-Power"}
C111028,"L 21 SECS 35 45 & 46 SDSI COWICHAN DIST PLN 1812",None,None,{Domestic,"Stream Storage: Non-Power"}
C119232,"S 1/2 OF NE 1/4 SEC 35 EXC PLAN 23065AND THAT PART OF L B PLAN KAP48346 WITHIN THE S 1/2 OF THE NW 1/4 SEC 36ALL WITHIN TP 20 R21 W6M KDYD",None,None,{"Livestock & Animal: Stockwatering","Irrigation: Private","Stream Storage: Non-Power"}
C126214,"all lands within the boundaries of the District of Port Edward Range 5 Coast District",None,None,{"Waterworks: Local Provider","Stream Storage: Non-Power"}
C068665,"L 120, 168, 169, 186, 187 & 1304 EXC PART LYING WITHIN L 614 KDYD",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C129083,"the North 1/2 of Legal Subdivision 9 and Fractional Legal Subdivision 10 both of Section 27 Township 21 Range 12 West of the 6th Meridian Kamloops Division Yale District",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C072299,"L A SEC 20 RGE 3E N DIV SALTSPRING ISCOWICHAN DIST PLAN 28650",None,None,{Domestic,"Stream Storage: Non-Power"}
C024716,"STOR FOR C 24715 HONEYMOON LK",None,None,{"Stream Storage: Non-Power"}
C015585,"STOR FOR C 25870 B X CR",None,None,{"Stream Storage: Non-Power"}
C002192,"STOR FOR C 2191 COMMUNITY LK",None,None,{"Stream Storage: Non-Power"}
501926,"Lot 1, Sections 11 and 12, Range 5, Chemainus District, Plan 9617, except part in Plan VIP69485 and EPP25011",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C055241,"STOR FOR C 55240 EMERALD POND",None,None,{"Stream Storage: Non-Power"}
F041457,"STOR FOR C 41456 ROBBINS CR",None,None,{"Stream Storage: Non-Power"}
C033302,"STOR FOR F 42553 PAUL LK",None,None,{"Stream Storage: Non-Power"}
C116575,"SET OUT IN CWL 116415",{"116415"},None,{"Stream Storage: Non-Power"}
C122509,"LOT A OF SECTIONS 8 9 10 11 & 12 RANGE 1 EAST & OF SECTIONS 7 8 9 10 11 & 12 RANGE 2 EAST & OF SECTIONS 9 10 11& 12 RANGE 3 EAST NORTH SAANICH PLAN 38759 LOT 5 SECTIONS 10 11 12 RANGE 1 E & RANGE 1 W PLAN 33744",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C046969,"STOR FOR C 46968 PAUL LK",None,None,{"Stream Storage: Non-Power"}
C115151,"STOR FOR C115150",{"C115150"},None,{"Stream Storage: Non-Power"}
C048614,"STOR FOR C 48613 DERENZY CR",None,None,{"Stream Storage: Non-Power"}
C019021,"STOR FOR C 19009 CROFTON LK",None,None,{"Stream Storage: Non-Power"}
C032112,"STOR FOR C 32110 MARRON R & C 32111 SHATFORD CR",None,None,{"Stream Storage: Non-Power"}
C125752,"Lot A, Section 70, Lake District, Plan 49389",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C120780,"7 AC L 4 DL 491 & SEC 14 TP 66 SDYD PL KAP73751",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C129467,"as set out in Conditional Water Licence 129456 or any licence issued in substitution thereof",{"129456"},None,{"Stream Storage: Non-Power"}
C130016,"Penticton Indian Band Indian Reserve 1, of which 41.3 hectares (102 acres) may be irrigated",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C053949,"THAT PART OF L 1 PLAN 2455 LYING WITHIN L 25 GP 8 YALE- LYTTON EXC PLAN 17018",None,None,{"Stream Storage: Non-Power"}
C064171,"STOR FOR C 64170 ROUND CR",None,None,{"Stream Storage: Non-Power"}
C052452,"THE WATERWORKS UNDERTAKING AND THE CONSERVATION PROJECT OF THE CAPITAL REGIONAL DISTRICT (WATER DEPARTMENT)",None,None,{"Stream Storage: Non-Power","Waterworks: Local Provider"}
C126220,"46.7 AC OF NW 1/4 SEC 26 & THOSE PORTIONS OF NE 1/4 OF NE 1/4 OF LS 16 SEC 27 & S 1/2 OF SE 1/4 SEC 34 LYING E OF CHUM LK & CHUM CR ALL OF TP 21 R 12 W6M KDYD",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C115529,"STOR FOR C 115528 COGHLAN CR",None,None,{"Stream Storage: Non-Power"}
F010466,"AS SET OUT IN CWL 56313",{"56313"},None,{"Stream Storage: Non-Power"}
C036429,"STOR FOR C 36428 POWELL CR",None,None,{"Stream Storage: Non-Power"}
C047135,"STOR FOR C 47134 JONES CR",None,None,{"Stream Storage: Non-Power"}
506040,"District Lot 7539 Kootenay District Except Part Included in Plan 11158",None,None,{Domestic,"Irrigation: Private","Stream Storage: Non-Power"}
C130854,"Lot A, Section 6, Comox District, Plan 4007, except that part in Plans 1191R and 39350",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C062130,"STOR FOR C 62129 MILE CR",None,None,{"Stream Storage: Non-Power"}
F014930,"STOR FOR C068666",{"C068666"},None,{"Stream Storage: Non-Power"}
C064239,"STOR FOR F 19418 REED CR & DOWDING SPR",None,None,{"Stream Storage: Non-Power"}
C127732,"LOT 1, SECTION 9 LASQUETI ISLAND NANAIMO DISTRICT PLAN VIP80341",None,None,{"Stream Storage: Non-Power",Domestic}
C100904,"THAT PORTION OF L A DIST LOT 10 CAMERON DIST PLAN 43792 LYING EAST OF WHISKY CREEK",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C114277,"LOT A SECTION 12 RANGE 3 PLAN VIP54444 LOT 2 SECTIONS 13 AND 14 RANGE 3 AND SECTION 14 RANGE 4 PLAN 27866 LOT 1 SECTION 14 RANGE 3 PLAN 50186 LOT D SECTION 14 RANGE 3 PLAN 31839 ALL OF SHAWNIGAN DISTRICT",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
F005895,"STOR FOR F 21235 JACKO CR",None,None,{"Stream Storage: Non-Power"}
C115069,"16 AC THT PART OF LS 15 SEC 8 TP 19 R17 W6M KDYD LYING EAST OF LONG LK RD",None,None,{"Irrigation: Private","Livestock & Animal: Stockwatering","Stream Storage: Non-Power"}
C037988,"STOR FOR C 37987 WABY LK",{"C37987"},None,{"Stream Storage: Non-Power"}
C028721,"STOR FOR F 12175 SCOTTY CR",{"F12175"},None,{"Stream Storage: Non-Power"}
C025320,"STOR FOR C 25319 BRUCE CR",{"C25319"},None,{"Stream Storage: Non-Power"}
C116552,"L A DL 230S PL KAP72391 DL 230S EXC PLANS H15201 34722 KAP72391 DL 237S EXC PLANS H15201 & 34722 ALL SDYD",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
F012403,"STOR FOR F 12402 GARDEN BAY LK",{"F12402"},None,{"Stream Storage: Non-Power"}
C115926,"NW 1/4 SEC 28 N 1/2 SEC 29 SEC 31 S 1/2 SEC 32 & LS 4 SEC 33 ALL WITHIN TP 20 R 20 W6M KDYD",None,None,{"Stream Storage: Non-Power"}
C101138,"L 2 SEC 16 AND 17 R 5 EAST NORTH SALTSPRING ISLAND COWICHAN DISTRICT PLAN 40347",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C115795,"6 AC THAT PART OF SW 1/4 SEC 9 TP 19 R14 W6M KDYD LYING EAST OF PL H83 & KAP59447",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C132459,"Storage for C132459 and C036152 Tunkwa Creek",{"C132459","C036152"},None,{"Stream Storage: Non-Power"}
C062112,"STOR FOR C 62111 CYGNET CR",{"C62111"},None,{"Stream Storage: Non-Power"}
C133599,"Storage for licence F048085",{"F048085"},None,{"Stream Storage: Non-Power"}
C016296,"STOR FOR C 16295 CAPILANO R",{"C16295"},None,{"Stream Storage: Non-Power"}
F012176,"STOR FOR F 12175 SCOTTY CR",{"F12175"},None,{"Stream Storage: Non-Power"}
C130587,"Lot 3 Section 4 Township 19 Range 9 West of the 6th Meridian Kamloops Division Yale District Plan 27412 Except Plan 38988 of which 1.6 hectares (4 acres) may be irrigated",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
F062211,"AS SET OUT IN C 110502",{"C110502"},None,{"Stream Storage: Non-Power"}
F124932,"THAT PORTION OF DL 771 R 5 COAST DISTRICT EXCEPT PLANS 4481 4758 11526 PRP46321 LYING SOUTH OF HWY 16",None,None,{Domestic,"Stream Storage: Non-Power"}
C060383,"STOR FOR C 36583 & 59241 RIBBLEWORTH CR",{"C36583","59241"},None,{"Stream Storage: Non-Power"}
C131534,"All irrigable lands within the boundaries of the Corporation of the City of Penticton",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C072291,"LOT 3 SECTION 17 RANGE 4 CEDAR DISTRICT PLAN 33123",None,None,{"Irrigation: Private","Stream Storage: Non-Power",Domestic}
C105414,"STOR FOR C 105412 TREPANIER CREEK",{"C105412"},None,{"Stream Storage: Non-Power"}
C130945,"Storage for Conditional Water Licence C026252 and C026253 on Stumplake Creek",{"C026252","C026253"},None,{"Stream Storage: Non-Power"}
C063520,"STOR FOR CL 63519 FORTUNE CR, S FORTUNE CR & BIG SWAMP CR",{"CL63519"},None,{"Stream Storage: Non-Power"}
C125717,"Fractional SW 1/4 Section 21, Fractional NW 1/4 Section 16 Except South 40 acres, Fractional NE 1/4 Section 17, all of Township 20, District Lot 477, Group 2, Except part on Reference Plan 1212A, all in New Westminster District",None,None,{"Transport Mgmt: Dust Control","Processing & Mfg: Processing","Stream Storage: Non-Power"}
C057102,"STOR FOR C 57101 HICKOK CR",{"C57101"},None,{"Stream Storage: Non-Power"}
C131822,"Lot 3 District Lot 3345 Kamloops Division Yale District Plan KAP85381",None,None,{"Stream Storage: Non-Power"}
C059671,"STO FOR C 59670 GINNARD CR",{"C59670"},None,{"Stream Storage: Non-Power"}
504762,"2 Ha of LOT 1 SECTION 32 TOWNSHIP 20 RANGE 10 WEST OF THE 6TH MERIDIAN KAMLOOPS DIVISION YALE DISTRICT PLAN 2309",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C119543,"51 AC THAT PART OF DL 3799 LYING W OFTHE W BOUNDARY OF DL 3490 & THE PROD UCTION NORTHERLY OF THE SAID W BOUNDARY BLOCKS A & B OF DL 3800A AND DL 5125 ALL OF ODYD",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C003759,"STOR FOR C 3756 ARMOUR CR",{"C3756"},None,{"Stream Storage: Non-Power"}
C027536,"STOR FOR F 47742 BESSETTE CR",{"F47742"},None,{"Stream Storage: Non-Power"}
F008935,"STOR FOR F 8229 GUICHON CR",{"F8229"},None,{"Stream Storage: Non-Power"}
